id,course_code,cl_no,course_name,cl_day,cl_start,cl_end,cl_room,lecturer
167,CCCU 4007,15,Self-writing and Representation,5,10:00,12:50,KEC 704,
168,CCCU 4007,16,Self-writing and Representation,1,10:00,12:50,KEC 801,
169,CCCU 4007,17,Self-writing and Representation,2,08:30,11:20,KEC 801,
170,CCCU 4008,01,Introduction to Corporate Communications,1,13:00,15:50,KEC 603,
171,CCCU 4009,01,Public Relations Writing,4,08:30,11:20,KEC 508,
172,CCCU 4012,01,Special Issues in Corporate Communications and Management,1,14:30,17:20,KEC 705,
173,CCCU 4012,02,Special Issues in Corporate Communications and Management,3,14:30,17:20,KEC 806,
174,CCCU 4013,04,Introduction to Media and Communications,4,14:30,17:20,KEC 704,
175,CCCU 4015,11,Rethinking Popular Culture,5,10:00,12:50,KEC 705,
176,CCCU 4015,12,Rethinking Popular Culture,4,08:30,11:20,KEC 806,
177,CCCU 4015,13,Rethinking Popular Culture,6,10:00,12:50,KEC 705,
178,CCCU 4015,14,Rethinking Popular Culture,2,08:30,11:20,KEC 604,
179,CCCU 4015,15,Rethinking Popular Culture,6,08:30,11:20,KEC 709,
180,CCCU 4015,16,Rethinking Popular Culture,3,08:30,11:20,KEC 705,
181,CCCU 4015,17,Rethinking Popular Culture,4,13:00,15:50,KEC 806,
182,CCCU 4015,18,Rethinking Popular Culture,4,08:30,11:20,KEC 701,
183,CCCU 4015,19,Rethinking Popular Culture,1,10:00,12:50,KEC 604,
184,CCCU 4015,20,Rethinking Popular Culture,5,10:00,12:50,KEC 503,
185,CCCU 4015,21,Rethinking Popular Culture,3,08:30,11:20,KEC 604,
186,CCCU 4015,22,Rethinking Popular Culture,1,08:30,11:20,CIT 802,
187,CCCU 4015,23,Rethinking Popular Culture,3,14:30,17:20,CIT 803,
188,CCCU 4018,02,Fundamentals of Journalism,4,08:30,11:20,KEC 705,
189,CCCU 4018,03,Fundamentals of Journalism,4,13:00,15:50,KEC 604,
190,CCCU 4019,04,Advertising: Principles and Practice,1,13:00,15:50,KEC 604,
191,CCCU 4019,05,Advertising: Principles and Practice,3,10:00,12:50,KEC 701,
192,CCCU 4021,01,Magazine Industry and Production in Hong Kong (CL01 + CT01),1,08:30,11:20,KEC THEATRE,
193,CCCU 4021,01,Magazine Industry and Production in Hong Kong (CL01 + CT01),3,16:00,17:20,KEC 608,
194,CCCU 4021,02,Magazine Industry and Production in Hong Kong (CL01 + CT02),1,08:30,11:20,KEC THEATRE,
195,CCCU 4021,02,Magazine Industry and Production in Hong Kong (CL01 + CT02),3,14:30,15:50,KEC 608,
196,CCCU 4021,03,Magazine Industry and Production in Hong Kong (CL01 + CT03),1,08:30,11:20,KEC THEATRE,
197,CCCU 4021,03,Magazine Industry and Production in Hong Kong (CL01 + CT03),2,10:00,11:20,KEC 806,
198,CCCU 4021,04,Magazine Industry and Production in Hong Kong (CL01 + CT04),1,08:30,11:20,KEC THEATRE,
199,CCCU 4021,04,Magazine Industry and Production in Hong Kong (CL01 + CT04),2,11:30,12:50,KEC 806,
200,CCCU 4022,01,Creativity and Creative Industries,2,14:30,17:20,KEC 503,
201,CCCU 4022,01,Creativity and Creative Industries,5,14:30,15:50,KEC 701,
202,CCCU 4022,02,Creativity and Creative Industries,2,14:30,17:20,KEC 503,
203,CCCU 4022,02,Creativity and Creative Industries,5,16:00,17:20,KEC 701,
204,CCCU 4022,03,Creativity and Creative Industries,2,14:30,17:20,KEC 503,
205,CCCU 4022,03,Creativity and Creative Industries,4,14:30,15:50,KEC 601,
206,CCCU 4022,04,Creativity and Creative Industries,2,14:30,17:20,KEC 503,
207,CCCU 4022,04,Creativity and Creative Industries,4,16:00,17:20,KEC 601,
208,CCCU 4028,01,Feature Journalism,3,10:00,12:50,KEC 508,
209,CCCU 4029,02,Project: Publishing and Media Practices,1,13:00,15:50,KEC 1003,
210,CCCU 4030,01,News Writing and Translation,2,08:30,11:20,KEC 701,
211,CCCU 4030,02,News Writing and Translation,2,14:30,17:20,KEC 608,
212,CCCU 5001,01,Culture and Translation,3,13:00,15:50,KEC 609,
213,CCCU 5002,01,"Media, Society and Consumer Culture",5,14:30,17:20,KEC 609,
214,CCEN 3003,01,General English II (Group 1),1,13:00,14:20,KEC 711,
215,CCEN 3003,01,General English II (Group 1),3,10:00,11:20,KEC 711,
216,CCEN 3003,02,General English II (Group 1),3,08:30,09:50,KEC 711,
217,CCEN 3003,02,General English II (Group 1),5,14:30,15:50,KEC 702,
218,CCEN 3003,03,General English II (Group 2),1,11:30,12:50,KEC 711,
219,CCEN 3003,03,General English II (Group 2),5,10:00,11:20,KEC 707,
220,CCEN 3003,04,General English II (Group 2),1,08:30,09:50,KEC 710,
221,CCEN 3003,04,General English II (Group 2),2,08:30,09:50,KEC 710,
222,CCEN 3003,05,General English II (Group 2),2,11:30,12:50,KEC 505,
223,CCEN 3003,05,General English II (Group 2),3,16:00,17:20,KEC 707,
224,CCEN 3003,06,General English II (Group 2),2,08:30,09:50,KEC 707,
225,CCEN 3003,06,General English II (Group 2),3,11:30,12:50,KEC 809,
226,CCEN 3003,07,General English II (Group 2),1,08:30,09:50,KEC 707,
227,CCEN 3003,07,General English II (Group 2),3,14:30,15:50,KEC 707,
228,CCEN 3003,08,General English II (Group 2),1,11:30,12:50,KEC 605,
229,CCEN 3003,08,General English II (Group 2),3,10:00,11:20,KEC 809,
230,CCEN 3004,04,College Speaking,1,14:30,15:50,KEC 1002,
231,CCEN 3004,04,College Speaking,2,13:00,14:20,KEC 1002,
232,CCEN 3004,05,College Speaking,1,13:00,14:20,KEC 1002,
233,CCEN 3004,05,College Speaking,2,14:30,15:50,KEC 1002,
234,CCEN 3004,06,College Speaking,2,11:30,12:50,KEC 1002,
235,CCEN 3004,06,College Speaking,4,11:30,12:50,KEC 1002,
